Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Train 149, loss: 0.844402, train acc: 0.978354, train avg acc: 0.966996
Test 149, loss: 0.945242, test acc: 0.915721, test avg acc: 0.884587
Train 150, loss: 0.846519, train acc: 0.975305, train avg acc: 0.962373
Test 150, loss: 0.944192, test acc: 0.916126, test avg acc: 0.880587
Train 151, loss: 0.843448, train acc: 0.976220, train avg acc: 0.964378
Test 151, loss: 0.945450, test acc: 0.914911, test avg acc: 0.884878
Train 152, loss: 0.845799, train acc: 0.977744, train avg acc: 0.967466
Test 152, loss: 0.944425, test acc: 0.917342, test avg acc: 0.884669
Train 153, loss: 0.844479, train acc: 0.976220, train avg acc: 0.965819
Test 153, loss: 0.944768, test acc: 0.918558, test avg acc: 0.887169
Train 154, loss: 0.842623, train acc: 0.978659, train avg acc: 0.968012
Test 154, loss: 0.940574, test acc: 0.918558, test avg acc: 0.887459
Train 155, loss: 0.842863, train acc: 0.976321, train avg acc: 0.964184
Test 155, loss: 0.943310, test acc: 0.920178, test avg acc: 0.890622
Train 156, loss: 0.845085, train acc: 0.976321, train avg acc: 0.964568
Test 156, loss: 0.945892, test acc: 0.915316, test avg acc: 0.877378
Train 157, loss: 0.846821, train acc: 0.975915, train avg acc: 0.963611
Test 157, loss: 0.941979, test acc: 0.917342, test avg acc: 0.886669
Train 158, loss: 0.844891, train acc: 0.977846, train avg acc: 0.968343
Test 158, loss: 0.939772, test acc: 0.919368, test avg acc: 0.887041
Train 159, loss: 0.844283, train acc: 0.977134, train avg acc: 0.965795
Test 159, loss: 0.941925, test acc: 0.917342, test avg acc: 0.882791
Train 160, loss: 0.847886, train acc: 0.975813, train avg acc: 0.963532
Test 160, loss: 0.940959, test acc: 0.915316, test avg acc: 0.886924
Train 161, loss: 0.843622, train acc: 0.977642, train avg acc: 0.965791
Test 161, loss: 0.940669, test acc: 0.917747, test avg acc: 0.886547
Train 162, loss: 0.846079, train acc: 0.976728, train avg acc: 0.964970
Test 162, loss: 0.945755, test acc: 0.914911, test avg acc: 0.883006
Train 163, loss: 0.844085, train acc: 0.976626, train avg acc: 0.965103
Test 163, loss: 0.946131, test acc: 0.914911, test avg acc: 0.887878
Train 164, loss: 0.846909, train acc: 0.976016, train avg acc: 0.964752
Test 164, loss: 0.941627, test acc: 0.917747, test avg acc: 0.886163
