Namespace(exp_name='new_lrgm', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Test 115, loss: 0.938362, test acc: 0.920178, test avg acc: 0.886581
Train 116, loss: 0.847886, train acc: 0.976423, train avg acc: 0.964251
Test 116, loss: 0.942851, test acc: 0.920583, test avg acc: 0.892872
Train 117, loss: 0.845910, train acc: 0.975407, train avg acc: 0.962627
Test 117, loss: 0.933861, test acc: 0.925041, test avg acc: 0.895703
Train 118, loss: 0.841820, train acc: 0.978862, train avg acc: 0.967775
Test 118, loss: 0.935979, test acc: 0.921394, test avg acc: 0.895453
Train 119, loss: 0.849831, train acc: 0.975711, train avg acc: 0.961937
Test 119, loss: 0.939494, test acc: 0.918963, test avg acc: 0.889831
Train 120, loss: 0.849524, train acc: 0.976524, train avg acc: 0.964104
Test 120, loss: 0.939452, test acc: 0.921394, test avg acc: 0.891494
Train 121, loss: 0.848571, train acc: 0.976220, train avg acc: 0.964354
Test 121, loss: 0.938184, test acc: 0.920989, test avg acc: 0.891326
Train 122, loss: 0.845932, train acc: 0.977337, train avg acc: 0.965362
Test 122, loss: 0.940076, test acc: 0.919773, test avg acc: 0.888576
Train 123, loss: 0.845295, train acc: 0.978455, train avg acc: 0.966118
Test 123, loss: 0.937508, test acc: 0.917747, test avg acc: 0.885959
Train 124, loss: 0.843828, train acc: 0.977337, train avg acc: 0.965662
Test 124, loss: 0.936444, test acc: 0.920583, test avg acc: 0.890994
Train 125, loss: 0.846329, train acc: 0.976728, train avg acc: 0.964157
Test 125, loss: 0.939803, test acc: 0.920178, test avg acc: 0.889500
Train 126, loss: 0.845069, train acc: 0.978455, train avg acc: 0.968074
Test 126, loss: 0.933435, test acc: 0.920989, test avg acc: 0.887122
Train 127, loss: 0.843612, train acc: 0.977134, train avg acc: 0.966598
Test 127, loss: 0.941565, test acc: 0.916532, test avg acc: 0.884331
Train 128, loss: 0.841697, train acc: 0.978354, train avg acc: 0.968853
Test 128, loss: 0.940224, test acc: 0.923825, test avg acc: 0.893953
Train 129, loss: 0.845524, train acc: 0.977033, train avg acc: 0.967004
Test 129, loss: 0.937028, test acc: 0.917342, test avg acc: 0.884750
Train 130, loss: 0.843797, train acc: 0.977744, train avg acc: 0.967500
Test 130, loss: 0.946316, test acc: 0.917342, test avg acc: 0.887872
Train 131, loss: 0.846596, train acc: 0.977541, train avg acc: 0.967198
Test 131, loss: 0.936741, test acc: 0.921394, test avg acc: 0.892203
Train 132, loss: 0.846474, train acc: 0.976423, train avg acc: 0.965463
Test 132, loss: 0.937566, test acc: 0.922204, test avg acc: 0.892831
Train 133, loss: 0.844307, train acc: 0.978252, train avg acc: 0.968017
Test 133, loss: 0.935785, test acc: 0.918558, test avg acc: 0.890622
Train 134, loss: 0.845461, train acc: 0.978252, train avg acc: 0.967645
Test 134, loss: 0.940983, test acc: 0.922609, test avg acc: 0.893244
Train 135, loss: 0.842801, train acc: 0.977947, train avg acc: 0.967880
Test 135, loss: 0.931970, test acc: 0.923825, test avg acc: 0.899872
Train 136, loss: 0.844597, train acc: 0.976829, train avg acc: 0.964740
Test 136, loss: 0.940719, test acc: 0.921394, test avg acc: 0.888413
Train 137, loss: 0.845672, train acc: 0.976626, train avg acc: 0.966150
Test 137, loss: 0.933457, test acc: 0.917342, test avg acc: 0.881831
Train 138, loss: 0.844607, train acc: 0.976829, train avg acc: 0.967098
Test 138, loss: 0.934715, test acc: 0.920989, test avg acc: 0.889872
Train 139, loss: 0.842230, train acc: 0.977337, train avg acc: 0.964908
Test 139, loss: 0.941613, test acc: 0.919368, test avg acc: 0.889285
Train 140, loss: 0.847547, train acc: 0.976118, train avg acc: 0.964629
Test 140, loss: 0.943718, test acc: 0.916126, test avg acc: 0.882163
Train 141, loss: 0.844232, train acc: 0.976321, train avg acc: 0.965681
Test 141, loss: 0.936213, test acc: 0.923015, test avg acc: 0.891413
Train 142, loss: 0.842355, train acc: 0.977134, train avg acc: 0.967741
Test 142, loss: 0.938780, test acc: 0.920989, test avg acc: 0.888285
Train 143, loss: 0.843898, train acc: 0.977541, train avg acc: 0.968102
Test 143, loss: 0.939946, test acc: 0.918963, test avg acc: 0.888663
Train 144, loss: 0.844101, train acc: 0.977134, train avg acc: 0.965361
Test 144, loss: 0.939515, test acc: 0.919368, test avg acc: 0.893081
Train 145, loss: 0.844978, train acc: 0.977236, train avg acc: 0.965617
Test 145, loss: 0.936852, test acc: 0.921799, test avg acc: 0.895291
Train 146, loss: 0.841148, train acc: 0.978862, train avg acc: 0.968871
Test 146, loss: 0.939826, test acc: 0.919368, test avg acc: 0.889041
Train 147, loss: 0.843267, train acc: 0.976423, train avg acc: 0.964272
Test 147, loss: 0.936059, test acc: 0.922204, test avg acc: 0.893872
Train 148, loss: 0.843517, train acc: 0.976829, train avg acc: 0.963176
Test 148, loss: 0.936689, test acc: 0.919368, test avg acc: 0.888041
Train 149, loss: 0.843339, train acc: 0.977947, train avg acc: 0.966544
Test 149, loss: 0.942178, test acc: 0.920178, test avg acc: 0.889581
Train 150, loss: 0.844705, train acc: 0.977541, train avg acc: 0.967011
Test 150, loss: 0.938652, test acc: 0.920583, test avg acc: 0.889831
Train 151, loss: 0.839167, train acc: 0.978252, train avg acc: 0.966843
Test 151, loss: 0.936647, test acc: 0.921394, test avg acc: 0.894372
Train 152, loss: 0.844598, train acc: 0.976728, train avg acc: 0.966009
Test 152, loss: 0.938259, test acc: 0.918558, test avg acc: 0.890581
Train 153, loss: 0.837844, train acc: 0.981098, train avg acc: 0.972481
Test 153, loss: 0.941565, test acc: 0.918558, test avg acc: 0.888581
Train 154, loss: 0.840681, train acc: 0.978150, train avg acc: 0.967437
Test 154, loss: 0.937150, test acc: 0.921394, test avg acc: 0.890535
Train 155, loss: 0.840998, train acc: 0.978354, train avg acc: 0.967486
Test 155, loss: 0.937487, test acc: 0.918152, test avg acc: 0.888331
Train 156, loss: 0.842798, train acc: 0.978354, train avg acc: 0.966956
Test 156, loss: 0.940238, test acc: 0.923015, test avg acc: 0.892291
Train 157, loss: 0.840514, train acc: 0.978354, train avg acc: 0.966759
Test 157, loss: 0.940274, test acc: 0.919368, test avg acc: 0.886000
Train 158, loss: 0.845082, train acc: 0.976524, train avg acc: 0.965303
Test 158, loss: 0.936420, test acc: 0.923420, test avg acc: 0.893581
Train 159, loss: 0.841416, train acc: 0.978862, train avg acc: 0.968918
Test 159, loss: 0.937283, test acc: 0.922204, test avg acc: 0.894035
Train 160, loss: 0.847091, train acc: 0.976829, train avg acc: 0.966879
Test 160, loss: 0.933248, test acc: 0.924635, test avg acc: 0.893494
Train 161, loss: 0.840798, train acc: 0.977846, train avg acc: 0.966653
Test 161, loss: 0.939054, test acc: 0.920178, test avg acc: 0.886663
