Namespace(exp_name='PRWKV-IFM_LRGM', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 134, loss: 0.849028, train acc: 0.949530, train avg acc: 0.842219, train iou: 0.853579
Test 134, loss: 0.875357, test acc: 0.936950, test avg acc: 0.812408, test iou: 0.835764
Train 135, loss: 0.852698, train acc: 0.948232, train avg acc: 0.833767, train iou: 0.850966
Test 135, loss: 0.883089, test acc: 0.932278, test avg acc: 0.836605, test iou: 0.829985
Train 136, loss: 0.850737, train acc: 0.948771, train avg acc: 0.837392, train iou: 0.852155
Test 136, loss: 0.881524, test acc: 0.933080, test avg acc: 0.828805, test iou: 0.830633
Train 137, loss: 0.847241, train acc: 0.950345, train avg acc: 0.842569, train iou: 0.854733
Test 137, loss: 0.877883, test acc: 0.934678, test avg acc: 0.837106, test iou: 0.838285
Train 138, loss: 0.846791, train acc: 0.950519, train avg acc: 0.842212, train iou: 0.855091
Test 138, loss: 0.874018, test acc: 0.937051, test avg acc: 0.842983, test iou: 0.840286
Train 139, loss: 0.847837, train acc: 0.950025, train avg acc: 0.843490, train iou: 0.854556
Test 139, loss: 0.873095, test acc: 0.935487, test avg acc: 0.843188, test iou: 0.837553
Train 140, loss: 0.851639, train acc: 0.948704, train avg acc: 0.837757, train iou: 0.852694
Test 140, loss: 0.871745, test acc: 0.936684, test avg acc: 0.837996, test iou: 0.838104
