Namespace(exp_name='LPR++', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 111, loss: 0.873571, train acc: 0.967378, train avg acc: 0.952184
Test 111, loss: 0.936676, test acc: 0.924635, test avg acc: 0.889378
Train 112, loss: 0.874094, train acc: 0.969207, train avg acc: 0.953304
Test 112, loss: 0.936995, test acc: 0.925041, test avg acc: 0.890953
Train 113, loss: 0.870971, train acc: 0.967988, train avg acc: 0.952173
Test 113, loss: 0.937602, test acc: 0.922204, test avg acc: 0.892919
Train 114, loss: 0.872321, train acc: 0.968191, train avg acc: 0.953616
Test 114, loss: 0.939942, test acc: 0.919773, test avg acc: 0.886250
Train 115, loss: 0.873693, train acc: 0.967581, train avg acc: 0.949928
Test 115, loss: 0.938832, test acc: 0.920583, test avg acc: 0.887831
Train 116, loss: 0.869969, train acc: 0.968191, train avg acc: 0.952489
Test 116, loss: 0.940008, test acc: 0.921799, test avg acc: 0.885953
Train 117, loss: 0.874527, train acc: 0.964228, train avg acc: 0.948259
Test 117, loss: 0.938335, test acc: 0.923420, test avg acc: 0.891581
Train 118, loss: 0.869470, train acc: 0.969411, train avg acc: 0.954036
Test 118, loss: 0.935565, test acc: 0.923420, test avg acc: 0.890622
Train 119, loss: 0.869173, train acc: 0.968598, train avg acc: 0.954230
Test 119, loss: 0.936534, test acc: 0.926661, test avg acc: 0.894913
Train 120, loss: 0.869979, train acc: 0.970020, train avg acc: 0.954542
Test 120, loss: 0.938712, test acc: 0.920178, test avg acc: 0.887378
Train 121, loss: 0.870286, train acc: 0.969411, train avg acc: 0.953497
Test 121, loss: 0.939074, test acc: 0.926661, test avg acc: 0.897913
Train 122, loss: 0.871401, train acc: 0.967581, train avg acc: 0.953300
Test 122, loss: 0.935976, test acc: 0.926661, test avg acc: 0.893953
Train 123, loss: 0.870208, train acc: 0.969411, train avg acc: 0.955422
Test 123, loss: 0.939922, test acc: 0.922204, test avg acc: 0.889000
Train 124, loss: 0.872737, train acc: 0.968598, train avg acc: 0.955080
Test 124, loss: 0.936856, test acc: 0.922609, test avg acc: 0.890959
Train 125, loss: 0.869600, train acc: 0.970325, train avg acc: 0.955620
Test 125, loss: 0.933341, test acc: 0.923825, test avg acc: 0.890041
Train 126, loss: 0.869678, train acc: 0.968293, train avg acc: 0.952992
Test 126, loss: 0.937083, test acc: 0.921799, test avg acc: 0.889541
Train 127, loss: 0.870730, train acc: 0.967276, train avg acc: 0.951700
Test 127, loss: 0.935040, test acc: 0.923420, test avg acc: 0.888622
Train 128, loss: 0.870992, train acc: 0.967988, train avg acc: 0.952483
Test 128, loss: 0.935391, test acc: 0.924230, test avg acc: 0.892331
Train 129, loss: 0.867028, train acc: 0.969919, train avg acc: 0.956421
Test 129, loss: 0.934690, test acc: 0.920989, test avg acc: 0.886291
Train 130, loss: 0.867008, train acc: 0.970224, train avg acc: 0.955171
Test 130, loss: 0.940313, test acc: 0.925851, test avg acc: 0.890413
Train 131, loss: 0.870630, train acc: 0.970122, train avg acc: 0.956620
Test 131, loss: 0.935552, test acc: 0.918152, test avg acc: 0.884378
Train 132, loss: 0.868529, train acc: 0.970020, train avg acc: 0.954934
Test 132, loss: 0.932399, test acc: 0.924230, test avg acc: 0.891041
Train 133, loss: 0.868742, train acc: 0.968598, train avg acc: 0.953223
Test 133, loss: 0.942053, test acc: 0.922204, test avg acc: 0.888831
Train 134, loss: 0.871157, train acc: 0.967480, train avg acc: 0.952346
Test 134, loss: 0.934670, test acc: 0.925041, test avg acc: 0.890035
Train 135, loss: 0.868915, train acc: 0.970122, train avg acc: 0.953519
Test 135, loss: 0.940068, test acc: 0.923015, test avg acc: 0.892541
Train 136, loss: 0.867826, train acc: 0.969106, train avg acc: 0.953663
Test 136, loss: 0.934673, test acc: 0.920583, test avg acc: 0.886709
Train 137, loss: 0.866566, train acc: 0.970528, train avg acc: 0.956497
Test 137, loss: 0.935326, test acc: 0.923420, test avg acc: 0.891709
Train 138, loss: 0.868245, train acc: 0.968902, train avg acc: 0.951947
Test 138, loss: 0.937734, test acc: 0.920989, test avg acc: 0.891919
Train 139, loss: 0.868117, train acc: 0.970122, train avg acc: 0.956238
Test 139, loss: 0.938477, test acc: 0.919368, test avg acc: 0.888331
Train 140, loss: 0.867349, train acc: 0.969207, train avg acc: 0.952874
Test 140, loss: 0.940482, test acc: 0.921394, test avg acc: 0.888459
Train 141, loss: 0.865042, train acc: 0.970630, train avg acc: 0.956957
Test 141, loss: 0.937945, test acc: 0.921394, test avg acc: 0.887250
Train 142, loss: 0.868093, train acc: 0.969919, train avg acc: 0.954468
Test 142, loss: 0.939130, test acc: 0.923420, test avg acc: 0.891500
Train 143, loss: 0.868383, train acc: 0.969817, train avg acc: 0.954430
Test 143, loss: 0.935317, test acc: 0.922609, test avg acc: 0.886413
Train 144, loss: 0.870349, train acc: 0.969207, train avg acc: 0.955092
Test 144, loss: 0.936880, test acc: 0.923825, test avg acc: 0.889163
Train 145, loss: 0.871165, train acc: 0.968191, train avg acc: 0.953060
Test 145, loss: 0.940080, test acc: 0.918558, test avg acc: 0.886419
Train 146, loss: 0.869882, train acc: 0.967581, train avg acc: 0.955468
Test 146, loss: 0.934263, test acc: 0.925446, test avg acc: 0.894959
Train 147, loss: 0.871174, train acc: 0.965244, train avg acc: 0.951227
Test 147, loss: 0.936137, test acc: 0.924230, test avg acc: 0.891331
Train 148, loss: 0.867429, train acc: 0.969411, train avg acc: 0.953368
Test 148, loss: 0.933274, test acc: 0.923015, test avg acc: 0.887041
Train 149, loss: 0.870685, train acc: 0.968191, train avg acc: 0.951864
Test 149, loss: 0.937158, test acc: 0.920583, test avg acc: 0.887959
Train 150, loss: 0.862422, train acc: 0.970833, train avg acc: 0.956163
Test 150, loss: 0.935277, test acc: 0.925446, test avg acc: 0.893959
Train 151, loss: 0.865730, train acc: 0.970325, train avg acc: 0.954448
Test 151, loss: 0.939524, test acc: 0.924635, test avg acc: 0.895500
Train 152, loss: 0.866692, train acc: 0.969715, train avg acc: 0.955981
Test 152, loss: 0.936353, test acc: 0.923420, test avg acc: 0.893500
Train 153, loss: 0.870831, train acc: 0.968089, train avg acc: 0.954497
Test 153, loss: 0.934960, test acc: 0.923825, test avg acc: 0.889791
Train 154, loss: 0.869897, train acc: 0.968089, train avg acc: 0.950784
Test 154, loss: 0.932650, test acc: 0.921799, test avg acc: 0.886459
Train 155, loss: 0.870436, train acc: 0.968902, train avg acc: 0.954541
Test 155, loss: 0.939905, test acc: 0.922609, test avg acc: 0.890291
Train 156, loss: 0.868499, train acc: 0.967276, train avg acc: 0.950002
Test 156, loss: 0.934491, test acc: 0.926256, test avg acc: 0.896459
Train 157, loss: 0.867609, train acc: 0.970020, train avg acc: 0.953204
Test 157, loss: 0.936796, test acc: 0.921799, test avg acc: 0.890791
Train 158, loss: 0.867178, train acc: 0.971850, train avg acc: 0.957326
Test 158, loss: 0.935168, test acc: 0.922204, test avg acc: 0.888913
Train 159, loss: 0.868845, train acc: 0.966768, train avg acc: 0.949462
Test 159, loss: 0.938521, test acc: 0.923825, test avg acc: 0.890791
Train 160, loss: 0.865267, train acc: 0.970630, train avg acc: 0.956962
Test 160, loss: 0.933343, test acc: 0.922609, test avg acc: 0.887250
Train 161, loss: 0.865790, train acc: 0.969207, train avg acc: 0.954466
Test 161, loss: 0.934346, test acc: 0.923825, test avg acc: 0.893081
Train 162, loss: 0.865871, train acc: 0.969817, train avg acc: 0.956357
Test 162, loss: 0.941530, test acc: 0.920989, test avg acc: 0.889000
Train 163, loss: 0.874086, train acc: 0.965955, train avg acc: 0.950137
Test 163, loss: 0.933164, test acc: 0.922204, test avg acc: 0.886750
Train 164, loss: 0.866353, train acc: 0.970630, train avg acc: 0.957257
Test 164, loss: 0.936844, test acc: 0.921394, test avg acc: 0.890581
Train 165, loss: 0.866551, train acc: 0.968293, train avg acc: 0.953789
Test 165, loss: 0.938070, test acc: 0.918152, test avg acc: 0.887459
Train 166, loss: 0.863957, train acc: 0.971748, train avg acc: 0.956278
Test 166, loss: 0.939458, test acc: 0.920989, test avg acc: 0.891209
Train 167, loss: 0.868470, train acc: 0.970122, train avg acc: 0.955421
Test 167, loss: 0.935281, test acc: 0.922204, test avg acc: 0.891750
Train 168, loss: 0.867634, train acc: 0.969207, train avg acc: 0.954727
Test 168, loss: 0.937107, test acc: 0.925041, test avg acc: 0.890541
Train 169, loss: 0.864377, train acc: 0.971138, train avg acc: 0.956638
Test 169, loss: 0.939181, test acc: 0.918558, test avg acc: 0.884541
Train 170, loss: 0.867632, train acc: 0.968801, train avg acc: 0.953592
Test 170, loss: 0.935545, test acc: 0.925851, test avg acc: 0.895122
Train 171, loss: 0.867363, train acc: 0.968191, train avg acc: 0.953447
Test 171, loss: 0.936653, test acc: 0.923420, test avg acc: 0.889459
Train 172, loss: 0.866393, train acc: 0.971341, train avg acc: 0.957209
Test 172, loss: 0.939001, test acc: 0.922609, test avg acc: 0.889959
Train 173, loss: 0.866853, train acc: 0.969614, train avg acc: 0.954576
Test 173, loss: 0.932397, test acc: 0.924635, test avg acc: 0.892500
Train 174, loss: 0.869757, train acc: 0.969411, train avg acc: 0.954624
Test 174, loss: 0.936748, test acc: 0.924230, test avg acc: 0.894041
Train 175, loss: 0.867972, train acc: 0.967785, train avg acc: 0.954671
Test 175, loss: 0.937847, test acc: 0.923825, test avg acc: 0.891081
Train 176, loss: 0.866274, train acc: 0.969614, train avg acc: 0.956207
Test 176, loss: 0.931778, test acc: 0.924230, test avg acc: 0.889372
Train 177, loss: 0.866573, train acc: 0.969919, train avg acc: 0.956065
Test 177, loss: 0.938054, test acc: 0.920989, test avg acc: 0.887291
Train 178, loss: 0.866299, train acc: 0.971850, train avg acc: 0.957391
Test 178, loss: 0.932723, test acc: 0.921394, test avg acc: 0.888413
Train 179, loss: 0.867477, train acc: 0.970325, train avg acc: 0.955306
Test 179, loss: 0.937366, test acc: 0.922609, test avg acc: 0.894047
Train 180, loss: 0.865921, train acc: 0.969207, train avg acc: 0.956123
Test 180, loss: 0.936117, test acc: 0.923825, test avg acc: 0.888913
Train 181, loss: 0.864256, train acc: 0.970122, train avg acc: 0.955789
